age;job;marital;education;default;housing;loan;contact;month;day_of_week;emp.var.rate;cons.price.idx;cons.conf.idx;euribor3m;y
[30, 40[;blue-collar;single;basic.6y;no;no;no;telephone;may;tue;1.1;93.994;-36.4;4.857;no
[50, 60[;blue-collar;married;basic.4y;unknown;no;no;telephone;jun;wed;1.4;94.465;-41.8;4.962;no
[50, 60[;blue-collar;married;basic.4y;no;yes;yes;cellular;nov;mon;-0.1;93.2;-42;4.191;no
[30, 40[;blue-collar;single;basic.6y;unknown;yes;no;cellular;may;tue;-1.8;92.893;-46.2;1.344;no
[40, 50[;services;married;high.school;unknown;no;no;cellular;aug;thu;1.4;93.444;-36.1;4.963;no
[40, 50[;admin.;married;high.school;no;yes;no;cellular;aug;fri;1.4;93.444;-36.1;4.963;no
[20, 30[;admin.;married;university.degree;no;no;no;telephone;jun;wed;1.4;94.465;-41.8;4.959;no
[20, 30[;blue-collar;married;basic.9y;no;yes;no;telephone;jun;tue;1.4;94.465;-41.8;4.864;no
[40, 50[;admin.;divorced;high.school;no;unknown;unknown;cellular;nov;mon;-0.1;93.2;-42;4.191;no
[40, 50[;blue-collar;married;basic.4y;no;yes;no;telephone;jul;tue;1.4;93.918;-42.7;4.955;no
[20, 30[;student;single;high.school;no;yes;no;telephone;may;mon;-1.8;92.893;-46.2;1.244;no
[30, 40[;blue-collar;single;basic.4y;unknown;no;no;telephone;jul;tue;1.4;93.918;-42.7;4.961;no
[40, 50[;blue-collar;married;professional.course;no;no;no;telephone;jun;mon;1.4;94.465;-41.8;4.865;no
[30, 40[;technician;married;professional.course;no;yes;no;cellular;may;fri;-1.8;92.893;-46.2;1.25;no
[50, 60[;housemaid;married;basic.4y;no;no;yes;telephone;jun;mon;1.4;94.465;-41.8;4.961;no
[30, 40[;technician;married;university.degree;no;no;no;telephone;jun;fri;1.4;94.465;-41.8;4.967;no
[30, 40[;services;married;high.school;no;no;yes;telephone;jun;tue;1.4;94.465;-41.8;4.961;no
[30, 40[;blue-collar;married;basic.9y;unknown;no;no;cellular;may;thu;-1.8;92.893;-46.2;1.327;no
[20, 30[;blue-collar;married;basic.9y;no;yes;no;telephone;may;mon;1.1;93.994;-36.4;4.858;no
[30, 40[;technician;single;professional.course;no;yes;no;cellular;apr;mon;-1.8;93.075;-47.1;1.405;no
[40, 50[;services;married;high.school;no;no;no;telephone;may;fri;1.1;93.994;-36.4;4.857;no
[30, 40[;technician;married;professional.course;unknown;yes;yes;telephone;aug;thu;1.4;93.444;-36.1;4.964;no
*;*;*;*;*;*;*;telephone;may;wed;1.1;93.994;-36.4;4.857;no
[20, 30[;blue-collar;single;basic.4y;no;no;no;telephone;jul;tue;1.4;93.918;-42.7;4.962;no
[40, 50[;housemaid;married;basic.4y;no;unknown;unknown;telephone;may;tue;1.1;93.994;-36.4;4.856;no
*;*;*;*;*;*;*;telephone;may;tue;1.1;93.994;-36.4;4.856;no
[20, 30[;blue-collar;single;basic.6y;no;no;no;telephone;may;wed;1.1;93.994;-36.4;4.858;no
[40, 50[;services;married;basic.6y;no;yes;no;cellular;may;thu;-1.8;92.893;-46.2;1.266;no
[20, 30[;admin.;single;high.school;no;yes;yes;cellular;jun;mon;-2.9;92.963;-40.8;1.26;yes
[30, 40[;technician;married;professional.course;no;no;no;cellular;apr;thu;-1.8;93.749;-34.6;0.64;no
[30, 40[;blue-collar;married;basic.9y;no;unknown;unknown;telephone;may;wed;1.1;93.994;-36.4;4.856;no
[30, 40[;admin.;single;university.degree;no;no;yes;telephone;jun;wed;1.4;94.465;-41.8;4.959;no
[40, 50[;admin.;married;high.school;no;no;no;telephone;jun;thu;1.4;94.465;-41.8;4.866;no
[20, 30[;blue-collar;single;basic.4y;no;no;no;telephone;jun;wed;1.4;94.465;-41.8;4.962;no
[20, 30[;technician;single;high.school;no;no;no;cellular;aug;tue;1.4;93.444;-36.1;4.966;no
[40, 50[;technician;single;university.degree;no;no;no;cellular;nov;thu;-0.1;93.2;-42;4.076;no
[50, 60[;technician;married;professional.course;no;yes;no;cellular;apr;wed;-1.8;93.075;-47.1;1.405;yes
[40, 50[;technician;married;university.degree;no;no;no;cellular;aug;tue;1.4;93.444;-36.1;4.965;no
[50, 60[;technician;married;high.school;no;yes;no;telephone;may;wed;1.1;93.994;-36.4;4.858;no
[30, 40[;blue-collar;married;basic.4y;unknown;yes;no;cellular;may;wed;-1.8;92.893;-46.2;1.334;no
[30, 40[;admin.;married;university.degree;no;yes;yes;cellular;apr;tue;-1.8;93.075;-47.1;1.423;yes
[30, 40[;services;married;high.school;no;no;no;telephone;jun;thu;1.4;94.465;-41.8;4.958;no
[40, 50[;admin.;divorced;university.degree;no;no;no;telephone;may;tue;1.1;93.994;-36.4;4.856;no
[30, 40[;technician;married;high.school;no;yes;yes;cellular;aug;tue;1.4;93.444;-36.1;4.963;no
[50, 60[;technician;married;professional.course;no;yes;no;telephone;jun;thu;1.4;94.465;-41.8;4.961;no
[50, 60[;admin.;married;university.degree;no;yes;no;cellular;jul;tue;1.4;93.918;-42.7;4.961;no
[20, 30[;student;single;unknown;no;yes;no;cellular;oct;fri;-1.1;94.601;-49.5;0.972;no
[30, 40[;blue-collar;married;professional.course;no;yes;no;telephone;may;wed;1.1;93.994;-36.4;4.858;no
[40, 50[;technician;married;professional.course;no;yes;no;telephone;may;thu;1.1;93.994;-36.4;4.86;no
[20, 30[;admin.;single;university.degree;no;no;no;cellular;nov;thu;-3.4;92.649;-30.1;0.714;yes
[20, 30[;admin.;single;university.degree;no;yes;yes;telephone;jun;wed;1.4;94.465;-41.8;4.959;no
[30, 40[;services;single;high.school;no;no;no;telephone;jun;fri;1.4;94.465;-41.8;4.959;no
[30, 40[;services;divorced;high.school;no;yes;no;cellular;nov;wed;-0.1;93.2;-42;4.12;no
[40, 50[;management;divorced;university.degree;no;no;no;cellular;jul;thu;1.4;93.918;-42.7;4.963;no
[30, 40[;self-employed;single;university.degree;no;no;no;cellular;jul;mon;1.4;93.918;-42.7;4.96;no
[20, 30[;technician;married;university.degree;no;yes;no;cellular;may;thu;-1.8;92.893;-46.2;1.327;no
[30, 40[;technician;single;professional.course;no;yes;yes;cellular;aug;thu;1.4;93.444;-36.1;4.964;no
[40, 50[;blue-collar;married;basic.9y;unknown;yes;no;telephone;jun;thu;1.4;94.465;-41.8;4.866;no
[50, 60[;management;divorced;university.degree;no;no;no;telephone;may;fri;1.1;93.994;-36.4;4.859;no
[40, 50[;self-employed;single;professional.course;no;no;no;cellular;nov;fri;-0.1;93.2;-42;4.021;no
[40, 50[;blue-collar;married;unknown;no;no;yes;telephone;may;tue;-1.8;92.893;-46.2;1.291;no
[50, 60[;blue-collar;married;basic.9y;no;no;no;cellular;may;fri;-1.8;92.893;-46.2;1.25;no
[30, 40[;admin.;married;university.degree;unknown;yes;yes;cellular;aug;fri;1.4;93.444;-36.1;4.963;no
[30, 40[;blue-collar;single;basic.9y;no;no;no;telephone;may;wed;1.1;93.994;-36.4;4.856;no
[20, 30[;student;single;unknown;no;no;no;cellular;may;tue;-1.8;93.876;-40;0.697;yes
[30, 40[;admin.;divorced;university.degree;no;no;no;cellular;nov;fri;-0.1;93.2;-42;4.021;no
[30, 40[;admin.;married;high.school;no;no;no;cellular;jul;fri;1.4;93.918;-42.7;4.963;no
[30, 40[;blue-collar;married;basic.9y;no;yes;no;telephone;may;fri;1.1;93.994;-36.4;4.855;no
[30, 40[;management;single;university.degree;no;yes;no;cellular;nov;wed;-0.1;93.2;-42;4.12;yes
[50, 60[;admin.;divorced;university.degree;unknown;no;no;cellular;nov;fri;-0.1;93.2;-42;4.021;no
[30, 40[;technician;single;high.school;no;no;no;cellular;aug;wed;1.4;93.444;-36.1;4.964;no
[30, 40[;admin.;married;university.degree;no;no;no;cellular;apr;thu;-1.8;93.075;-47.1;1.483;yes
[30, 40[;admin.;single;high.school;no;no;no;telephone;jun;mon;1.4;94.465;-41.8;4.947;no
[30, 40[;services;married;basic.9y;unknown;no;no;cellular;nov;mon;-0.1;93.2;-42;4.191;no
*;*;*;*;*;*;*;cellular;aug;thu;1.4;93.444;-36.1;4.962;no
[30, 40[;self-employed;married;university.degree;no;yes;no;cellular;aug;thu;1.4;93.444;-36.1;4.964;yes
[50, 60[;blue-collar;married;basic.9y;no;yes;no;telephone;may;fri;1.1;93.994;-36.4;4.859;no
[30, 40[;technician;single;university.degree;no;yes;no;cellular;aug;tue;1.4;93.444;-36.1;4.963;yes
[30, 40[;admin.;married;high.school;no;no;no;cellular;aug;wed;-2.9;92.201;-31.4;0.879;no
[40, 50[;technician;married;university.degree;no;yes;yes;cellular;nov;fri;-0.1;93.2;-42;4.021;no
[20, 30[;blue-collar;single;basic.9y;no;no;no;cellular;may;mon;-1.8;92.893;-46.2;1.244;no
[40, 50[;technician;married;professional.course;unknown;no;no;cellular;apr;fri;-1.8;93.075;-47.1;1.405;no
[30, 40[;blue-collar;married;basic.4y;no;yes;no;telephone;nov;thu;-3.4;92.649;-30.1;0.716;no
[40, 50[;self-employed;married;basic.9y;no;yes;no;cellular;jul;wed;1.4;93.918;-42.7;4.963;yes
[30, 40[;services;married;high.school;no;no;no;cellular;sep;tue;-3.4;92.379;-29.8;0.755;yes
[50, 60[;entrepreneur;married;basic.4y;unknown;yes;no;cellular;jul;thu;1.4;93.918;-42.7;4.968;no
[40, 50[;blue-collar;married;basic.4y;no;yes;no;cellular;may;tue;-1.8;92.893;-46.2;1.291;no
[30, 40[;technician;married;university.degree;no;no;no;cellular;jun;wed;-2.9;92.963;-40.8;1.26;yes
[40, 50[;entrepreneur;divorced;basic.4y;no;no;no;cellular;jul;fri;1.4;93.918;-42.7;4.963;no
[40, 50[;management;divorced;university.degree;no;no;no;telephone;may;fri;1.1;93.994;-36.4;4.857;no
[20, 30[;services;single;high.school;no;yes;no;cellular;nov;fri;-0.1;93.2;-42;4.021;no
[40, 50[;blue-collar;married;basic.6y;unknown;no;no;telephone;jun;tue;1.4;94.465;-41.8;4.961;no
[30, 40[;admin.;married;university.degree;no;no;no;cellular;aug;fri;-2.9;92.201;-31.4;0.869;yes
[30, 40[;technician;married;professional.course;no;yes;no;telephone;may;thu;1.1;93.994;-36.4;4.86;no
[50, 60[;retired;married;high.school;unknown;yes;no;cellular;jul;wed;1.4;93.918;-42.7;4.963;no
[20, 30[;services;married;high.school;no;yes;no;telephone;jul;thu;1.4;93.918;-42.7;4.968;no
[30, 40[;services;single;professional.course;no;no;no;telephone;jun;thu;1.4;94.465;-41.8;4.866;no
[30, 40[;admin.;married;university.degree;no;no;no;cellular;aug;tue;1.4;93.444;-36.1;4.966;no
[50, 60[;admin.;single;university.degree;no;yes;yes;cellular;may;wed;-1.8;92.893;-46.2;1.334;no
[30, 40[;blue-collar;single;basic.9y;no;yes;no;cellular;nov;mon;-0.1;93.2;-42;4.191;no
[40, 50[;admin.;single;high.school;unknown;yes;no;telephone;may;mon;-1.8;92.893;-46.2;1.244;no
[30, 40[;admin.;single;university.degree;no;yes;no;cellular;nov;wed;-0.1;93.2;-42;4.12;no
