age;job;marital;education;default;housing;loan;contact;month;day_of_week;emp.var.rate;cons.price.idx;cons.conf.idx;euribor3m;y
[20, 40[;*;married;University Degree;no;no;no;cellular;2;fri;1.4;93.444;-36.1;4.966;no
[40, 60[;*;married;University Degree;no;unknown;unknown;cellular;3;tue;-3.4;92.649;-30.1;0.72;yes
[20, 40[;*;single;Unknown;no;yes;no;cellular;1;thu;-1.8;93.369;-34.8;0.635;yes
[20, 40[;*;married;University Degree;no;yes;no;cellular;2;tue;-2.9;92.963;-40.8;1.252;no
[20, 40[;*;married;University Degree;unknown;no;no;cellular;2;tue;1.4;93.444;-36.1;4.963;no
[40, 60[;*;married;University Degree;unknown;no;yes;cellular;2;tue;1.4;93.918;-42.7;4.961;no
[20, 40[;*;married;Basic;unknown;yes;no;cellular;2;mon;-1.8;92.893;-46.2;1.299;no
[60, 80[;*;married;Unknown;no;yes;no;cellular;2;fri;-1.7;94.027;-38.3;0.905;yes
[20, 40[;*;single;Basic;unknown;yes;no;cellular;2;thu;-1.8;92.893;-46.2;1.266;no
*;*;*;*;*;*;*;*;*;*;-2.9;92.201;-31.4;0.854;no
[40, 60[;*;married;University Degree;no;yes;yes;cellular;3;fri;-0.1;93.2;-42;4.021;yes
[20, 40[;*;married;HIgh School;unknown;yes;no;telephone;2;wed;1.1;93.994;-36.4;4.857;no
[20, 40[;*;married;University Degree;no;yes;no;cellular;2;wed;1.4;93.918;-42.7;4.963;no
[40, 60[;*;married;Basic;unknown;yes;no;cellular;2;wed;-1.8;92.893;-46.2;1.281;no
[20, 40[;*;single;University Degree;no;no;no;cellular;1;tue;-1.8;93.075;-47.1;1.453;yes
[40, 60[;*;married;University Degree;no;yes;no;cellular;2;fri;-1.8;92.893;-46.2;1.25;yes
[20, 40[;*;single;HIgh School;unknown;no;no;cellular;2;wed;1.4;93.444;-36.1;4.964;yes
[40, 60[;*;divorced;University Degree;no;no;no;cellular;2;fri;1.4;93.444;-36.1;4.964;no
[40, 60[;*;married;Basic;unknown;no;no;cellular;2;thu;-1.8;92.893;-46.2;1.266;no
[40, 60[;*;divorced;HIgh School;no;no;no;telephone;2;thu;1.4;94.465;-41.8;4.866;no
[20, 40[;*;married;Professional Course;no;no;no;telephone;2;thu;1.1;93.994;-36.4;4.86;no
[40, 60[;*;married;University Degree;unknown;no;no;cellular;2;tue;1.4;93.444;-36.1;4.963;no
[20, 40[;*;married;University Degree;no;yes;no;telephone;2;fri;1.1;93.994;-36.4;4.855;no
[40, 60[;*;married;University Degree;no;yes;yes;cellular;2;fri;1.4;93.918;-42.7;4.962;no
[40, 60[;*;married;Professional Course;no;no;no;cellular;2;tue;-2.9;92.201;-31.4;0.883;no
[40, 60[;*;single;University Degree;unknown;no;no;cellular;3;fri;-0.1;93.2;-42;4.021;no
[20, 40[;*;single;HIgh School;no;no;no;cellular;2;tue;1.4;93.918;-42.7;4.961;no
