age;job;marital;education;default;housing;loan;contact;month;day_of_week;emp.var.rate;cons.price.idx;cons.conf.idx;euribor3m;nr.employed;y
*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;no
[0, 100[;admin.;married;university.degree;no;yes;no;cellular;aug;fri;1.4;93.444;-36.1;4.963;NULL;no
*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;no
*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;no
[0, 100[;technician;single;professional.course;no;no;no;cellular;jul;thu;1.4;93.918;-42.7;4.958;NULL;no
[0, 100[;admin.;single;high.school;no;yes;no;cellular;aug;fri;-2.9;92.201;-31.4;0.881;NULL;no
[0, 100[;services;married;high.school;no;no;no;cellular;jul;thu;1.4;93.918;-42.7;4.968;NULL;no
*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;no
[0, 100[;admin.;single;university.degree;no;yes;no;cellular;nov;thu;-0.1;93.2;-42;4.076;NULL;no
[0, 100[;services;single;high.school;no;no;no;cellular;jul;wed;1.4;93.918;-42.7;4.963;NULL;no
*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;no
[0, 100[;retired;married;unknown;no;no;no;cellular;aug;wed;-2.9;92.201;-31.4;0.879;NULL;no
[0, 100[;blue-collar;married;basic.6y;no;yes;no;telephone;jun;mon;1.4;94.465;-41.8;4.961;NULL;no
[0, 100[;admin.;married;university.degree;no;no;no;cellular;aug;wed;1.4;93.444;-36.1;4.965;NULL;no
[0, 100[;blue-collar;married;basic.9y;no;no;no;telephone;may;wed;1.1;93.994;-36.4;4.858;5191;no
[0, 100[;admin.;single;high.school;no;yes;no;cellular;nov;thu;-0.1;93.2;-42;4.076;NULL;no
[0, 100[;blue-collar;married;basic.4y;unknown;yes;no;cellular;may;wed;-1.8;92.893;-46.2;1.334;NULL;no
*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;no
[0, 100[;blue-collar;married;basic.4y;no;no;no;cellular;may;thu;-1.8;92.893;-46.2;1.327;NULL;no
[0, 100[;services;married;high.school;no;no;no;cellular;may;thu;-1.8;92.893;-46.2;1.266;NULL;no
*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;no
[0, 100[;blue-collar;married;basic.4y;unknown;yes;no;cellular;may;mon;-1.8;92.893;-46.2;1.299;NULL;no
[0, 100[;technician;single;university.degree;no;no;no;cellular;aug;thu;1.4;93.444;-36.1;4.963;NULL;no
[0, 100[;management;married;basic.9y;no;yes;no;telephone;may;thu;1.1;93.994;-36.4;4.86;5191;no
[0, 100[;blue-collar;married;basic.4y;unknown;no;no;telephone;may;tue;1.1;93.994;-36.4;4.856;5191;no
*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;no
*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;no
*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;no
*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;no
*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;no
*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;no
[0, 100[;admin.;married;university.degree;no;yes;no;telephone;may;tue;1.1;93.994;-36.4;4.856;5191;no
*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;no
[0, 100[;blue-collar;married;basic.9y;no;yes;no;telephone;may;wed;1.1;93.994;-36.4;4.857;5191;no
*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;no
*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;no
[0, 100[;technician;married;university.degree;no;no;no;telephone;may;tue;1.1;93.994;-36.4;4.856;5191;no
*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;no
[0, 100[;technician;married;professional.course;no;yes;no;cellular;apr;thu;-1.8;93.075;-47.1;1.365;NULL;yes
*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;no
*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;no
*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;no
*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;no
[0, 100[;services;single;high.school;no;no;no;cellular;jul;tue;1.4;93.918;-42.7;4.961;NULL;no
[0, 100[;admin.;divorced;basic.9y;no;yes;no;cellular;nov;wed;-0.1;93.2;-42;4.12;NULL;no
*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;yes
[0, 100[;blue-collar;married;basic.9y;no;yes;no;cellular;apr;fri;-1.8;93.075;-47.1;1.405;NULL;no
[0, 100[;unemployed;married;high.school;no;yes;no;cellular;jul;thu;1.4;93.918;-42.7;4.968;NULL;no
[0, 100[;admin.;single;high.school;no;yes;no;cellular;may;thu;-1.8;93.876;-40;0.683;NULL;no
*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;yes
[0, 100[;blue-collar;married;basic.4y;no;no;no;cellular;aug;fri;1.4;93.444;-36.1;4.964;NULL;no
[0, 100[;admin.;married;university.degree;no;no;no;cellular;may;mon;-1.8;92.893;-46.2;1.244;NULL;no
[0, 100[;technician;single;professional.course;no;yes;no;cellular;jul;thu;1.4;93.918;-42.7;4.958;NULL;no
*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;yes
*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;no
*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;no
[0, 100[;blue-collar;married;basic.4y;unknown;yes;no;cellular;aug;mon;1.4;93.444;-36.1;4.97;NULL;no
[0, 100[;admin.;single;university.degree;no;yes;no;cellular;jul;thu;1.4;93.918;-42.7;4.962;NULL;no
*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;no
*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;no
*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;yes
[0, 100[;admin.;single;high.school;no;no;yes;telephone;may;fri;1.1;93.994;-36.4;4.864;5191;no
*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;no
[0, 100[;blue-collar;married;high.school;no;yes;no;cellular;may;tue;-1.8;92.893;-46.2;1.291;NULL;no
*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;no
*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;no
[0, 100[;student;single;unknown;unknown;yes;no;cellular;aug;fri;-2.9;92.201;-31.4;0.825;NULL;no
[0, 100[;blue-collar;married;basic.6y;unknown;yes;no;telephone;jun;tue;1.4;94.465;-41.8;4.961;NULL;no
[0, 100[;technician;married;professional.course;no;yes;no;cellular;aug;thu;1.4;93.444;-36.1;4.968;NULL;no
[0, 100[;blue-collar;married;high.school;no;no;no;telephone;jun;fri;1.4;94.465;-41.8;4.967;NULL;no
[0, 100[;management;married;university.degree;no;yes;no;telephone;may;mon;1.1;93.994;-36.4;4.857;5191;no
[0, 100[;management;married;university.degree;no;yes;no;cellular;jul;thu;1.4;93.918;-42.7;4.968;NULL;no
[0, 100[;technician;single;university.degree;no;no;no;cellular;may;tue;-1.8;92.893;-46.2;1.291;NULL;no
[0, 100[;entrepreneur;divorced;university.degree;no;no;no;cellular;nov;mon;-0.1;93.2;-42;4.191;NULL;no
*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;no
[0, 100[;admin.;single;university.degree;no;yes;no;cellular;aug;thu;1.4;93.444;-36.1;4.962;NULL;no
